Record_Number,Region,RESIDENCE_TYPE,Family_Composition,sex,age,Marital_Status,student,Country_Of_Birth,health,Ethnic_Group,religion,Economic_Activity,Occupation,industry,Hours_Worked_Per_Week,Approximate_Social_Grade
13916,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
13918,S92000003,P,0,2,7,5,2,1,4,1,2,5,9,1,X,4
13922,S92000003,P,1,2,6,2,2,1,3,1,2,5,4,12,X,1
13923,S92000003,C,X,2,8,5,2,1,3,1,2,5,X,X,X,X
13926,S92000003,P,1,2,1,1,1,1,2,1,5,X,X,X,X,X
13927,S92000003,P,1,1,1,1,2,1,2,1,1,X,X,X,X,X
13929,S92000003,P,1,2,6,2,2,1,3,1,1,1,6,11,2,3
13932,S92000003,P,0,2,3,1,2,1,1,1,2,1,2,10,3,1
13933,S92000003,P,0,1,5,4,2,1,1,1,2,2,3,12,3,2
13937,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
13938,S92000003,P,2,1,1,1,2,1,2,5,1,X,X,X,X,X
13941,S92000003,P,4,1,1,1,1,1,1,1,8,X,X,X,X,X
13943,S92000003,P,1,2,6,2,2,1,1,1,2,5,2,10,X,1
13948,S92000003,P,1,1,7,2,2,1,1,1,1,2,1,11,3,1
13949,S92000003,P,1,2,4,2,2,1,1,1,2,1,2,11,3,2
13950,S92000003,P,1,2,5,2,2,1,1,1,2,1,2,10,3,1
13953,S92000003,P,1,1,4,2,2,1,1,1,2,1,1,1,4,1
13954,S92000003,C,X,1,4,1,2,1,1,1,2,1,2,11,4,X
13955,S92000003,P,2,2,3,1,2,1,1,1,2,1,4,11,3,1
13957,S92000003,P,4,1,2,1,1,1,1,1,1,6,X,X,X,1
13960,S92000003,P,1,1,6,2,2,1,1,1,1,1,2,10,4,1
13961,S92000003,P,5,2,6,1,2,1,3,1,2,5,9,1,X,4
13963,S92000003,P,0,2,7,5,2,1,2,1,2,5,6,13,X,4
13964,S92000003,P,1,1,6,2,2,1,2,1,1,5,3,11,X,4
13966,S92000003,P,2,2,3,1,2,1,1,1,2,1,2,11,3,2
13967,S92000003,P,0,1,7,3,2,1,3,1,2,1,1,12,3,2
13971,S92000003,P,1,1,1,1,2,1,1,1,2,X,X,X,X,X
13973,S92000003,P,1,2,1,1,1,1,2,1,1,X,X,X,X,X
13976,S92000003,P,1,1,8,2,2,1,3,1,2,5,6,10,X,4
13977,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
13978,S92000003,P,1,2,4,2,2,1,1,1,2,2,2,11,3,1
13981,S92000003,P,1,1,6,2,2,1,2,1,1,1,2,10,4,1
13989,S92000003,C,X,2,8,5,2,1,3,1,9,5,2,11,X,X
13990,S92000003,P,1,2,6,2,2,1,2,1,2,1,9,10,1,2
13992,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
13994,S92000003,P,3,2,1,1,1,1,2,1,2,X,X,X,X,X
13995,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
13997,S92000003,P,4,2,3,1,2,1,1,1,2,1,6,11,2,3
14002,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
14003,S92000003,P,1,1,4,2,2,2,1,1,2,1,2,10,3,1
14005,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
14008,S92000003,P,0,2,8,5,2,2,2,1,2,5,6,11,X,4
14013,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
14014,S92000003,P,1,1,1,1,2,1,2,1,1,X,X,X,X,X
14015,S92000003,P,1,2,3,2,2,1,2,1,2,1,2,11,3,2
14016,S92000003,P,0,1,5,1,2,1,4,1,2,8,9,10,X,4
14019,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
14020,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
14021,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
14022,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
14023,S92000003,P,4,2,2,1,1,1,1,1,2,6,X,X,X,2
14024,S92000003,P,1,1,5,2,1,2,2,3,6,6,X,X,X,2
14028,S92000003,P,1,1,5,2,2,1,2,1,2,1,1,11,3,1
14033,S92000003,P,1,2,6,2,2,1,3,1,1,5,6,11,X,1
14034,S92000003,P,1,1,6,2,2,1,4,1,2,8,9,12,X,2
14037,S92000003,P,2,1,2,1,1,1,1,1,1,6,X,X,X,4
14040,S92000003,P,4,2,1,1,1,1,1,1,9,X,X,X,X,X
14041,S92000003,P,0,2,6,1,2,1,2,1,2,8,X,X,X,4
14043,S92000003,P,4,2,1,1,1,1,3,1,1,X,X,X,X,X
14044,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
14046,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
14047,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
14049,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
14051,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
14056,S92000003,C,X,1,4,1,2,1,2,1,9,8,X,X,X,X
14057,S92000003,P,1,2,4,2,2,2,2,3,6,7,2,10,X,2
14061,S92000003,P,0,1,5,1,2,1,3,1,1,3,4,12,X,2
14062,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
14063,S92000003,P,0,2,5,4,2,1,2,1,2,1,4,11,3,2
14064,S92000003,P,0,2,4,1,2,1,2,1,2,1,4,11,3,2
14065,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
14066,S92000003,P,2,1,1,1,2,1,1,1,2,X,X,X,X,X
14067,S92000003,P,1,1,4,2,2,1,2,1,2,1,6,13,3,4
14068,S92000003,P,2,2,4,1,2,1,1,1,2,1,9,11,1,2
14069,S92000003,P,4,1,1,1,1,1,2,1,2,X,X,X,X,X
14071,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
14074,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
14075,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
14077,S92000003,P,5,2,2,1,1,1,2,1,9,6,X,X,X,2
14078,S92000003,P,0,1,4,1,2,1,5,1,2,8,X,X,X,4
14079,S92000003,P,1,2,8,2,2,1,3,1,2,5,9,10,X,4
14084,S92000003,P,1,2,7,2,2,1,3,1,2,5,4,10,X,2
14085,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
14087,S92000003,P,4,2,2,1,2,1,1,1,1,1,6,11,2,3
14090,S92000003,P,1,1,6,2,2,1,4,1,1,8,4,11,X,4
14096,S92000003,P,2,2,3,1,2,1,2,1,9,1,6,13,3,3
14097,S92000003,P,1,1,6,2,2,1,1,1,2,1,3,11,3,2
14100,S92000003,P,0,2,5,1,2,1,1,1,2,1,3,11,3,2
14106,S92000003,P,1,1,8,2,2,1,2,1,9,5,8,12,X,3
14110,S92000003,P,4,2,2,1,1,1,1,1,2,6,X,X,X,2
14111,S92000003,P,1,1,5,2,2,1,2,1,2,1,6,11,3,4
14119,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
14121,S92000003,P,3,1,1,1,1,1,1,1,2,X,X,X,X,X
14123,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
14127,S92000003,P,2,2,3,1,2,1,2,1,1,9,X,X,X,3
14128,S92000003,P,0,2,2,1,2,1,1,1,1,3,X,X,X,4
14129,S92000003,P,2,2,2,1,2,1,2,1,1,3,3,11,X,2
14131,S92000003,P,2,2,1,1,2,1,1,1,2,X,X,X,X,X
14133,S92000003,P,4,1,1,1,2,1,1,1,2,X,X,X,X,X
14142,S92000003,P,2,2,3,1,2,1,1,1,2,1,2,11,3,2
14143,S92000003,P,4,1,1,1,2,1,1,1,9,X,X,X,X,X
14146,S92000003,P,1,2,5,2,2,1,2,1,9,1,6,10,3,2
14147,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
14152,S92000003,P,1,1,2,1,1,1,1,1,2,6,X,X,X,4
14154,S92000003,P,4,2,4,1,2,1,1,1,1,1,2,11,3,2
14157,S92000003,P,3,2,1,1,2,1,1,1,2,X,X,X,X,X
14158,S92000003,P,1,2,2,1,2,1,2,1,1,3,X,X,X,3
14159,S92000003,P,1,2,1,1,2,1,1,1,2,X,X,X,X,X
14160,S92000003,P,4,2,3,1,2,1,1,1,1,1,6,11,1,3
14161,S92000003,P,0,2,7,4,2,1,2,1,2,5,7,12,X,2
14162,S92000003,P,2,2,1,1,2,1,1,1,1,X,X,X,X,X
14164,S92000003,P,4,2,3,1,2,1,5,1,9,8,X,X,X,4
14168,S92000003,P,3,2,1,1,1,1,2,1,2,X,X,X,X,X
14169,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
14176,S92000003,P,4,2,3,1,2,1,1,1,2,1,6,11,2,3
14177,S92000003,P,2,2,4,1,2,1,1,1,2,1,4,11,3,2
14179,S92000003,P,1,2,1,1,1,2,1,3,6,X,X,X,X,X
14180,S92000003,P,0,2,3,1,2,1,1,1,2,1,2,11,3,1
14181,S92000003,P,5,2,1,1,2,1,1,1,2,X,X,X,X,X
14183,S92000003,P,1,2,5,2,2,1,1,1,9,1,6,10,2,4
14187,S92000003,P,0,1,8,5,2,1,3,1,1,1,3,11,2,2
14189,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
14191,S92000003,P,1,2,3,2,2,1,2,1,9,1,2,10,3,2
14192,S92000003,P,1,2,5,2,2,1,1,1,2,1,2,11,4,1
14194,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
14195,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
14196,S92000003,P,0,1,2,1,1,1,1,1,2,4,3,12,1,2
14198,S92000003,P,0,2,3,1,2,1,1,1,1,1,2,11,4,2
14201,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
14202,S92000003,P,1,2,7,2,2,1,2,1,1,5,9,11,X,4
14203,S92000003,P,1,2,6,2,2,1,3,1,2,5,4,11,X,2
14204,S92000003,P,1,2,6,2,2,1,2,1,9,1,6,11,3,3
14209,S92000003,P,0,2,8,5,2,1,5,1,2,5,6,11,X,4
14211,S92000003,P,1,2,5,2,2,1,1,1,9,2,6,11,3,3
14215,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
14216,S92000003,P,4,2,4,4,2,1,2,1,1,1,4,11,3,2
14217,S92000003,P,1,2,5,2,2,1,1,1,1,7,6,11,X,1
14218,S92000003,P,4,2,1,1,1,1,2,1,1,X,X,X,X,X
14222,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
14225,S92000003,P,4,1,1,1,1,1,1,1,9,X,X,X,X,X
14227,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
14228,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
14229,S92000003,P,0,2,8,5,2,1,3,1,2,5,9,11,X,4
14231,S92000003,P,1,1,5,2,2,1,2,1,2,1,2,11,3,2
14232,S92000003,P,1,1,5,2,2,1,1,1,1,1,2,11,3,2
14233,S92000003,P,1,2,3,1,2,1,1,1,1,1,2,11,3,2
14236,S92000003,P,0,2,8,1,2,1,4,1,2,5,2,11,X,2
14237,S92000003,P,1,2,8,2,2,1,3,1,2,5,3,11,X,4
14239,S92000003,P,4,2,2,1,1,1,1,1,1,6,X,X,X,4
14242,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
14243,S92000003,P,4,2,6,5,2,1,4,1,2,8,9,11,X,4
14244,S92000003,P,1,1,7,2,2,1,3,1,1,5,2,11,X,1
14250,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
14251,S92000003,P,0,1,7,1,2,1,4,1,1,9,5,1,X,3
14252,S92000003,P,1,2,4,2,2,1,1,1,2,1,6,11,2,4
14257,S92000003,P,2,1,1,1,2,1,1,1,9,X,X,X,X,X
14260,S92000003,P,2,1,1,1,1,1,2,1,1,X,X,X,X,X
14269,S92000003,P,2,2,3,1,2,1,1,1,1,1,6,11,3,3
14271,S92000003,P,1,2,3,2,2,1,1,1,2,1,2,10,3,2
14272,S92000003,P,4,2,5,1,2,1,2,1,1,1,6,11,2,4
14278,S92000003,P,2,2,5,1,2,1,1,1,2,1,2,11,3,2
14280,S92000003,P,0,2,5,1,2,1,1,1,2,1,4,11,3,2
14281,S92000003,P,1,1,2,1,2,1,2,1,1,1,6,12,3,2
14284,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
14289,S92000003,P,0,2,6,2,2,1,1,1,1,9,2,10,X,1
14299,S92000003,P,0,2,8,5,2,1,5,1,1,5,X,X,X,4
14301,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
14303,S92000003,P,1,2,7,2,2,1,4,1,2,5,4,12,X,4
14304,S92000003,P,1,2,4,2,2,2,4,1,2,8,6,11,X,2
14305,S92000003,P,2,2,1,1,1,1,1,1,1,X,X,X,X,X
14308,S92000003,P,0,2,4,1,2,1,2,1,1,3,6,13,X,4
14309,S92000003,P,1,1,1,1,2,1,1,1,2,X,X,X,X,X
14313,S92000003,P,1,1,1,1,2,1,1,1,2,X,X,X,X,X
14315,S92000003,P,3,1,1,1,2,1,3,1,1,X,X,X,X,X
14317,S92000003,P,4,1,2,1,1,1,1,1,2,6,X,X,X,4
14320,S92000003,P,4,2,1,1,2,1,2,1,2,X,X,X,X,X
14323,S92000003,P,0,1,4,1,2,1,3,1,1,9,X,X,X,4
14328,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
14337,S92000003,P,1,2,2,1,1,1,2,1,2,4,X,X,X,3
14339,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
14340,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
14343,S92000003,P,4,1,1,1,1,1,1,1,9,X,X,X,X,X
14345,S92000003,P,1,2,3,2,2,2,2,1,2,1,6,11,2,3
14350,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
14351,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
14353,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
14357,S92000003,P,1,1,2,1,2,1,1,1,1,3,X,X,X,4
14358,S92000003,P,1,1,5,2,2,1,4,1,9,3,2,11,X,2
14360,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
14362,S92000003,P,1,2,1,1,1,1,2,1,1,X,X,X,X,X
14364,S92000003,P,1,2,4,2,2,1,1,1,1,7,X,X,X,3
14371,S92000003,P,1,2,6,2,2,1,3,1,2,5,X,X,X,3
14372,S92000003,P,1,2,6,2,2,1,2,1,1,5,6,11,X,2
14376,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
14377,S92000003,P,0,2,2,1,2,1,2,1,1,1,6,12,2,3
14383,S92000003,P,2,2,3,1,2,1,1,1,1,1,2,10,3,4
14384,S92000003,P,1,1,1,1,1,2,1,1,9,X,X,X,X,X
14386,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
14394,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
14395,S92000003,P,2,2,2,1,2,2,2,1,2,1,4,11,3,1
14396,S92000003,P,1,1,7,2,2,1,2,1,2,5,9,11,X,4
14398,S92000003,P,1,1,5,2,2,1,1,1,1,1,6,10,3,3
14400,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
14401,S92000003,P,2,2,1,1,2,1,1,1,9,X,X,X,X,X
14402,S92000003,P,4,2,1,1,1,1,1,1,9,X,X,X,X,X
14403,S92000003,P,4,2,1,1,1,1,2,1,1,X,X,X,X,X
14406,S92000003,P,3,2,1,1,1,1,1,1,2,X,X,X,X,X
14407,S92000003,P,4,1,1,1,2,1,1,1,9,X,X,X,X,X
14408,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
14411,S92000003,P,2,2,3,1,2,1,1,1,1,1,6,11,3,4
14416,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
14417,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
14418,S92000003,P,4,2,1,1,2,1,2,1,2,X,X,X,X,X
14419,S92000003,P,1,2,1,1,1,1,2,1,1,X,X,X,X,X
14422,S92000003,P,4,2,4,3,2,1,1,1,1,1,6,10,2,3
14425,S92000003,P,1,2,5,2,2,1,1,1,2,2,6,11,2,3
14426,S92000003,P,1,1,5,1,2,1,1,1,2,8,X,X,X,4
14431,S92000003,P,4,2,5,3,2,1,2,1,2,1,6,11,3,4
14436,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
14438,S92000003,P,1,2,4,2,2,1,1,1,9,3,6,10,X,2
14439,S92000003,P,1,2,4,2,2,2,1,1,2,1,1,10,2,2
14441,S92000003,P,0,2,8,5,2,1,3,1,2,5,6,11,X,4
14442,S92000003,P,0,2,6,1,2,1,3,1,2,1,4,11,1,2
14445,S92000003,P,1,2,4,2,2,1,1,1,2,1,3,10,2,1
14448,S92000003,P,0,2,7,1,2,1,2,1,2,5,9,11,X,4
14450,S92000003,P,4,1,5,1,2,1,1,1,2,1,5,12,3,4
14454,S92000003,P,1,2,4,2,2,1,5,1,2,5,2,11,X,2
14458,S92000003,C,X,2,8,2,2,1,3,1,9,5,X,X,X,X
14461,S92000003,C,X,1,1,1,1,1,1,1,1,X,X,X,X,X
14462,S92000003,C,X,1,1,1,1,1,1,1,2,X,X,X,X,X
14465,S92000003,P,1,2,5,2,2,1,1,1,2,1,6,11,2,1
14470,S92000003,P,0,1,6,1,2,1,1,1,2,5,2,10,X,1
14471,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
14472,S92000003,P,1,2,7,2,2,1,3,1,2,5,6,10,X,3
14474,S92000003,P,1,1,7,2,2,1,2,1,2,5,4,13,X,2
14476,S92000003,P,0,2,8,5,2,1,2,1,2,5,9,10,X,4
14478,S92000003,P,0,2,8,5,2,2,4,1,2,5,6,11,X,4
14479,S92000003,P,2,1,5,1,2,1,4,1,1,8,2,13,X,1
14481,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
14483,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
14484,S92000003,P,4,2,4,1,2,1,1,1,1,1,6,11,3,2
14485,S92000003,P,1,2,4,2,2,1,1,1,1,1,6,10,1,1
14489,S92000003,P,0,2,6,1,2,2,2,1,2,1,2,10,4,1
14493,S92000003,P,1,2,6,2,2,1,2,1,2,1,3,10,3,1
14495,S92000003,P,1,1,2,1,1,1,4,3,6,6,X,X,X,4
14499,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
14501,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
14502,S92000003,P,0,2,8,5,2,1,3,1,2,5,4,10,X,2
14503,S92000003,P,5,2,8,5,2,1,3,1,1,5,6,11,X,4
14505,S92000003,P,1,2,3,2,2,2,1,4,2,7,6,10,X,1
14507,S92000003,P,1,1,1,1,1,1,2,1,1,X,X,X,X,X
14508,S92000003,P,1,2,6,2,2,1,4,1,1,1,9,11,2,3
14509,S92000003,P,2,2,1,1,2,1,1,1,1,X,X,X,X,X
14510,S92000003,P,0,1,3,1,2,2,2,1,1,1,6,11,3,3
14511,S92000003,P,2,1,2,1,1,1,1,1,1,6,X,X,X,4
14512,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
14514,S92000003,P,0,1,4,1,2,1,3,1,2,8,X,X,X,4
14519,S92000003,P,2,2,4,1,2,1,2,1,1,1,2,11,3,1
14522,S92000003,P,2,2,6,4,2,1,2,1,2,5,2,10,X,3
14529,S92000003,P,0,1,6,4,2,1,1,1,1,1,6,11,3,4
14533,S92000003,P,1,2,4,2,2,1,3,1,2,3,X,X,X,4
14536,S92000003,P,4,2,8,5,2,1,2,1,1,5,6,12,X,4
14542,S92000003,P,0,2,3,3,2,1,4,1,1,8,6,13,X,3
14549,S92000003,P,1,1,1,1,2,1,1,1,2,X,X,X,X,X
14551,S92000003,P,0,1,2,1,1,2,2,3,8,6,X,X,X,2
14554,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
14557,S92000003,P,5,2,3,3,1,2,2,1,1,4,2,10,2,1
14560,S92000003,P,0,1,3,1,2,1,1,1,2,1,2,11,3,1
14561,S92000003,P,2,2,3,1,1,2,1,3,4,6,X,X,X,2
14562,S92000003,P,1,2,1,1,2,1,1,1,2,X,X,X,X,X
14563,S92000003,P,2,1,3,1,2,2,1,1,1,1,2,10,4,2
14566,S92000003,P,4,2,5,4,2,1,2,1,1,2,1,11,2,2
14567,S92000003,P,2,1,8,4,2,1,2,1,1,5,2,10,X,1
14570,S92000003,P,2,2,5,4,2,1,2,1,1,2,6,11,2,4
14575,S92000003,P,0,2,3,1,1,1,1,1,2,4,4,11,2,2
14576,S92000003,P,0,2,5,4,2,1,2,1,2,1,6,11,2,3
14577,S92000003,P,5,2,1,1,1,1,1,1,9,X,X,X,X,X
14579,S92000003,P,1,2,6,2,2,1,1,1,2,5,9,11,X,3
14580,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
14582,S92000003,P,0,2,7,4,2,1,1,1,2,5,9,10,X,4
14587,S92000003,P,1,2,7,2,2,1,2,1,2,5,6,11,X,4
14588,S92000003,P,4,2,1,1,1,1,2,1,2,X,X,X,X,X
14590,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
14591,S92000003,P,1,2,5,2,2,1,2,1,1,7,2,11,X,1
14592,S92000003,P,2,1,1,1,2,2,1,2,2,X,X,X,X,X
14595,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
14599,S92000003,P,1,2,1,1,2,1,1,1,9,X,X,X,X,X
14600,S92000003,P,1,2,2,1,1,1,1,1,1,6,X,X,X,2
14602,S92000003,P,1,2,8,2,2,1,2,1,2,5,9,11,X,3
14605,S92000003,P,1,2,4,2,2,1,1,3,2,2,2,11,3,2
14606,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
14607,S92000003,P,2,1,5,1,2,1,3,1,2,1,1,12,3,1
14608,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
14609,S92000003,P,1,1,3,1,2,1,2,1,1,1,2,10,3,3
14611,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
14612,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
14613,S92000003,P,0,2,2,1,2,1,1,1,2,1,3,12,2,2
14615,S92000003,P,2,2,4,1,2,1,3,1,2,1,3,11,3,3
14616,S92000003,P,0,1,2,1,2,1,2,1,2,8,X,X,X,4
14617,S92000003,P,4,1,1,1,1,1,2,1,1,X,X,X,X,X
14618,S92000003,P,1,1,7,2,2,1,2,1,2,5,5,11,X,4
14619,S92000003,P,0,2,8,5,2,1,2,1,2,5,9,11,X,4
14622,S92000003,P,0,2,7,3,2,1,5,1,2,5,9,11,X,4
14625,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
14626,S92000003,P,4,2,1,1,1,1,1,3,6,X,X,X,X,X
14631,S92000003,C,X,1,1,1,1,1,2,1,1,X,X,X,X,X
14633,S92000003,P,4,2,6,1,2,1,2,1,2,5,6,10,X,4
14635,S92000003,P,4,1,2,1,2,1,1,3,6,3,6,13,X,4
14636,S92000003,P,0,2,8,5,2,1,2,1,2,5,9,11,X,4
14638,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
14640,S92000003,P,0,2,4,1,2,1,3,1,1,8,6,10,X,4
14642,S92000003,P,1,1,6,2,2,1,2,1,2,1,6,11,3,4
14643,S92000003,P,0,1,1,1,2,1,1,1,1,X,X,X,X,X
14646,S92000003,P,1,1,1,1,2,1,1,1,2,X,X,X,X,X
14648,S92000003,P,4,2,5,1,2,1,1,1,2,1,6,13,2,4
14650,S92000003,P,1,2,1,1,1,1,1,3,4,X,X,X,X,X
14651,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
14653,S92000003,P,2,2,5,4,2,1,2,1,2,1,3,11,3,2
14655,S92000003,P,1,1,1,1,1,1,1,3,6,X,X,X,X,X
14656,S92000003,P,1,1,1,1,1,1,1,3,6,X,X,X,X,X
14657,S92000003,P,1,2,1,1,1,1,2,3,6,X,X,X,X,X
14658,S92000003,P,4,2,1,1,1,1,1,3,6,X,X,X,X,X
14660,S92000003,P,0,1,5,4,2,1,2,1,2,1,2,11,3,1
14663,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
14665,S92000003,P,4,2,3,1,2,1,3,1,2,7,X,X,X,4
14668,S92000003,P,2,2,4,1,2,1,1,1,2,1,2,10,4,3
14672,S92000003,P,4,2,3,3,2,1,1,1,2,7,6,10,X,4
14673,S92000003,P,2,1,1,1,2,1,1,1,9,X,X,X,X,X
14674,S92000003,P,0,2,5,1,2,1,5,1,2,8,4,10,X,2
14677,S92000003,P,2,2,5,4,2,1,3,1,1,1,2,11,3,2
14681,S92000003,P,1,1,5,2,2,1,3,1,2,8,6,11,X,4
14683,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
14684,S92000003,P,0,2,2,1,2,1,4,1,2,8,X,X,X,4
14685,S92000003,P,1,1,1,1,1,1,2,1,9,X,X,X,X,X
14689,S92000003,P,0,2,8,5,2,1,3,1,1,5,4,10,X,2
14690,S92000003,P,2,1,2,1,2,1,5,1,1,8,X,X,X,4
14692,S92000003,P,0,2,2,1,1,1,1,1,1,6,6,11,X,2
14694,S92000003,P,5,1,4,1,2,1,5,1,2,8,9,11,X,4
14696,S92000003,P,4,2,4,1,2,1,2,1,2,7,X,X,X,4
14700,S92000003,P,4,1,4,1,2,1,1,1,9,1,2,11,3,4
14701,S92000003,P,4,2,1,1,1,2,1,5,9,X,X,X,X,X
14702,S92000003,P,1,2,2,1,2,1,1,1,2,1,6,10,2,2
14703,S92000003,P,2,2,6,5,2,1,3,1,2,8,6,13,X,4
14704,S92000003,P,1,1,4,2,2,1,1,1,1,7,X,X,X,4
14705,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
14706,S92000003,P,2,2,5,1,2,1,4,1,2,7,X,X,X,4
14707,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
14711,S92000003,P,0,2,5,1,2,1,5,1,9,8,X,X,X,4
14712,S92000003,P,0,2,2,1,1,1,1,1,9,6,2,10,X,4
14713,S92000003,P,1,2,5,2,2,2,2,3,6,9,X,X,X,4
14717,S92000003,P,0,2,2,1,1,2,1,3,1,6,X,X,X,2
14720,S92000003,P,5,1,3,2,1,2,2,3,6,6,4,10,X,2
14721,S92000003,P,1,1,1,1,1,1,1,3,6,X,X,X,X,X
14722,S92000003,P,0,2,2,1,1,2,1,1,1,6,X,X,X,2
14724,S92000003,P,1,1,1,1,2,1,1,3,6,X,X,X,X,X
14726,S92000003,P,4,2,2,1,2,1,1,1,1,1,4,10,1,4
14731,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
14732,S92000003,P,4,2,1,1,2,1,1,1,9,X,X,X,X,X
14733,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
14734,S92000003,P,1,1,7,2,2,1,1,1,2,1,9,10,2,4
14735,S92000003,P,1,2,3,2,2,1,1,1,2,1,2,10,3,1
14739,S92000003,P,5,2,2,1,2,1,1,1,1,9,6,11,X,4
14740,S92000003,P,1,2,5,2,2,1,1,1,9,1,2,11,3,2
14741,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
14742,S92000003,P,4,2,5,3,2,1,2,1,1,7,6,11,X,4
